tuple_id(String),src(String),flight(String),sched_dep_time(String),act_dep_time(String),sched_arr_time(String),act_arr_time(String)
30,aa,aa-400-dfw-jfk,10:40 a.m.,11:01 a.m.,2:59 p.m.,3:04 p.m.
31,aa,aa-4198-ord-cle,10:40 a.m.,10:54 a.m.,12:55 p.m.,12:50 p.m.
32,aa,aa-1522-sfo-ord,11:55 p.m.,unknown,12/02/2011 5:50 a.m.,unknown
33,aa,aa-3823-lax-den,9:00 p.m.,unknown,12/02/2011 12:15 a.m.,unknown
34,aa,aa-2312-dfw-dtw,8:25 p.m.,unknown,11:50 p.m.,unknown
35,aa,aa-1165-jfk-mia,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
36,aa,aa-431-mia-sfo,8:35 a.m.,8:51 a.m.,11:50 a.m.,11:44 a.m.
37,aa,aa-649-ord-sna,1:30 p.m.,unknown,3:50 p.m.,unknown
38,aa,aa-3063-slc-lax,8:20 p.m.,8:39 p.m.,9:20 p.m.,unknown
39,aa,aa-3804-phl-ord,2:35 p.m.,2:44 p.m.,4:05 p.m.,3:43 p.m.
40,aa,aa-1917-jfk-mco,2:55 p.m.,3:27 p.m.,5:55 p.m.,5:43 p.m.
41,aa,aa-2268-phx-ord,7:15 a.m.,7:22 a.m.,11:35 a.m.,11:06 a.m.
42,aa,aa-4277-cvg-jfk,12:10 p.m.,12:10 p.m.,2:15 p.m.,1:43 p.m.
43,aa,aa-789-ord-den,1:05 p.m.,1:19 p.m.,2:35 p.m.,3:13 p.m.
44,aa,aa-415-bos-ord,8:35 a.m.,8:56 a.m.,10:40 a.m.,10:16 a.m.
45,aa,aa-85-jfk-sfo,3:05 p.m.,3:36 p.m.,6:30 p.m.,6:43 p.m.
46,aa,aa-1544-san-ord,11:25 a.m.,11:40 a.m.,5:25 p.m.,4:56 p.m.
47,aa,aa-3786-iah-ord,4:00 p.m.,4:12 p.m.,6:40 p.m.,6:15 p.m.
48,aa,aa-222-lax-bos,7:10 a.m.,7:31 a.m.,3:30 p.m.,3:14 p.m.
49,aa,aa-3809-phx-lax,6:00 a.m.,6:10 a.m.,6:40 a.m.,6:19 a.m.
50,aa,aa-59-jfk-sfo,7:10 a.m.,7:39 a.m.,10:45 a.m.,11:12 a.m.
51,helloflight,aa-3859-iah-ord,unknown,7:16 a.m.,unknown,9:22 a.m.
52,helloflight,co-1586-iah-mco,7:00 p.m.,unknown,10:15 p.m.,unknown
53,helloflight,aa-518-mia-jfk,unknown,6:54 a.m.,unknown,9:14 a.m.
54,helloflight,ua-397-jfk-sfo,unknown,8:48 a.m.,unknown,11:30 a.m.
55,helloflight,ua-3925-iad-orf,unknown,9:00 a.m.,unknown,9:29 a.m.
56,helloflight,aa-1733-ord-phx,unknown,7:59 p.m.,unknown,10:31 p.m.
57,helloflight,ua-2830-mco-clt,unknown,3:50 p.m.,unknown,5:14 p.m.
58,helloflight,co-58-den-iah,11:25 a.m.,unknown,2:50 p.m.,unknown
59,helloflight,aa-1544-san-ord,unknown,11:41 a.m.,unknown,4:54 p.m.
60,helloflight,ua-5487-sfo-mry,unknown,10:53 a.m.,unknown,11:11 a.m.
61,helloflight,aa-204-lax-mco,unknown,11:29 p.m.,unknown,12/2/11 6:35 a.m.
62,helloflight,ua-414-lax-sfo,unknown,6:10 a.m.,unknown,7:04 a.m.
63,helloflight,co-1614-lax-iah,12:30 a.m.,unknown,5:35 a.m.,unknown
64,helloflight,ua-2726-fll-phl,unknown,4:10 p.m.,unknown,6:25 p.m.
65,helloflight,co-52-iah-lax,7:35 a.m.,unknown,9:21 a.m.,unknown
66,helloflight,co-1090-bos-iah,9:45 a.m.,unknown,1:16 p.m.,unknown
67,helloflight,aa-616-dfw-dtw,unknown,10:11 a.m.,unknown,1:11 p.m.
68,helloflight,ua-3515-iad-msp,unknown,8:26 a.m.,unknown,9:56 a.m.
69,helloflight,aa-3468-cvg-mia,unknown,7:25 a.m.,unknown,9:29 a.m.
70,helloflight,aa-484-dfw-mia,unknown,4:29 p.m.,unknown,7:37 p.m.
71,helloflight,aa-1886-bos-mia,unknown,10:54 a.m.,unknown,1:36 p.m.
72,helloflight,co-62-iah-ewr,2:30 p.m.,unknown,7:03 p.m.,unknown
73,helloflight,co-1561-phx-iah,8:05 a.m.,unknown,11:35 a.m.,unknown
74,helloflight,ua-2314-atl-phl,unknown,3:04 p.m.,unknown,4:43 p.m.
75,helloflight,aa-446-dfw-phl,unknown,12:13 p.m.,unknown,4:08 p.m.
76,helloflight,co-1023-iah-den,11:40 a.m.,unknown,1:17 p.m.,unknown
77,helloflight,aa-466-iah-mia,unknown,6:09 a.m.,unknown,8:50 a.m.
78,helloflight,ua-3050-phx-clt,unknown,11:45 a.m.,unknown,5:00 p.m.
79,helloflight,co-89-iah-ewr,6:00 a.m.,unknown,10:20 a.m.,unknown
80,helloflight,co-1088-cle-iah,8:40 a.m.,unknown,10:54 a.m.,unknown
81,helloflight,aa-1664-mia-atl,unknown,10:19 a.m.,unknown,11:50 a.m.
82,helloflight,aa-1279-dfw-phx,unknown,2:03 p.m.,unknown,3:13 p.m.
83,helloflight,ua-854-sfo-iah,unknown,8:07 a.m.,unknown,1:23 p.m.
84,helloflight,ua-382-iad-lax,unknown,12:56 p.m.,unknown,3:09 p.m.
85,helloflight,aa-4344-ord-dtw,unknown,12:14 p.m.,unknown,1:55 p.m.
86,helloflight,ua-257-jfk-sfo,unknown,2:43 p.m.,unknown,5:22 p.m.
87,helloflight,ua-2945-phl-clt,unknown,12:07 p.m.,unknown,1:11 p.m.
88,helloflight,co-63-ewr-iah,5:25 p.m.,unknown,8:22 p.m.,unknown
89,helloflight,co-47-iah-lax,7:10 p.m.,unknown,8:56 p.m.,unknown
90,helloflight,aa-2050-ord-mia,unknown,11:06 a.m.,unknown,2:39 p.m.
91,helloflight,ua-248-phx-ord,unknown,1:43 p.m.,unknown,5:24 p.m.
92,helloflight,aa-4330-cvg-ord,3:35 p.m.,unknown,4:00 p.m.,unknown
93,helloflight,aa-1434-dfw-mco,unknown,7:22 a.m.,unknown,10:34 a.m.
94,helloflight,aa-1640-mia-mco,unknown,6:47 p.m.,unknown,7:25 p.m.
95,helloflight,aa-4307-ord-dtw,unknown,6:56 p.m.,unknown,8:38 p.m.
96,helloflight,aa-3-jfk-lax,unknown,12:12 p.m.,unknown,3:04 p.m.
97,helloflight,co-1694-lax-iah,7:15 p.m.,unknown,12/2/11 12:21 a.m.,unknown
98,helloflight,ua-843-lax-ord,unknown,2:04 p.m.,unknown,7:20 p.m.
99,helloflight,co-1193-ewr-mco,9:15 a.m.,unknown,12:18 p.m.,unknown
100,helloflight,aa-3842-msp-ord,unknown,6:57 a.m.,unknown,7:49 a.m.
101,helloflight,aa-643-mia-ord,unknown,7:31 a.m.,unknown,9:26 a.m.
102,helloflight,aa-1007-mia-phx,unknown,5:09 p.m.,unknown,7:43 p.m.
103,helloflight,aa-2525-dfw-mia,unknown,7:39 a.m.,unknown,10:43 a.m.
104,helloflight,ua-2906-phl-mco,unknown,4:44 p.m.,unknown,6:28 p.m.
105,helloflight,ua-938-den-ord,unknown,4:37 p.m.,unknown,7:23 p.m.
106,helloflight,aa-1221-mco-ord,unknown,8:23 p.m.,unknown,9:47 p.m.
107,helloflight,co-16-lax-ewr,10:25 a.m.,unknown,6:44 p.m.,unknown
108,helloflight,ua-2515-dfw-clt,unknown,7:30 a.m.,unknown,10:43 a.m.
109,helloflight,aa-400-dfw-jfk,unknown,11:02 a.m.,unknown,2:58 p.m.
110,helloflight,ua-664-ord-phl,unknown,1:48 p.m.,unknown,4:20 p.m.
111,helloflight,aa-3756-ord-slc,unknown,12:42 p.m.,unknown,2:50 p.m.
112,helloflight,ua-37-ewr-mco,1:29 p.m.,unknown,4:17 p.m.,unknown
113,helloflight,aa-1522-sfo-ord,unknown,12:11 a.m.,unknown,5:52 a.m.
114,helloflight,ua-233-lax-jfk,unknown,4:28 p.m.,unknown,12/2/11 12:01 a.m.
115,helloflight,aa-3823-lax-den,unknown,9:06 p.m.,unknown,11:49 p.m.
116,helloflight,aa-2312-dfw-dtw,unknown,8:29 p.m.,unknown,11:35 p.m.
117,helloflight,aa-1165-jfk-mia,unknown,7:23 a.m.,unknown,9:45 a.m.
118,helloflight,aa-431-mia-sfo,unknown,8:52 a.m.,unknown,11:33 a.m.
119,helloflight,ua-3373-iad-phl,unknown,8:37 a.m.,unknown,9:13 a.m.
120,helloflight,aa-649-ord-sna,unknown,1:41 p.m.,unknown,3:29 p.m.
121,helloflight,co-1250-mia-iah,2:53 p.m.,unknown,4:48 p.m.,unknown
122,helloflight,ua-6273-yyc-sfo,unknown,7:41 a.m.,unknown,8:33 a.m.
123,helloflight,ua-828-sfo-ord,11:08 p.m.,unknown,12/2/11 5:11 a.m.,unknown
124,helloflight,co-4888-iah-dal,unknown,5:38 p.m.,unknown,6:19 p.m.
125,helloflight,ua-858-pvg-sfo,unknown,1:50 p.m. (+8:00),unknown,7:50 a.m.
126,helloflight,ua-2704-dtw-phx,unknown,11:47 a.m.,unknown,1:52 p.m.
127,helloflight,aa-3063-slc-lax,unknown,8:40 p.m.,unknown,9:12 p.m.
128,helloflight,ua-2708-ewr-clt,unknown,3:04 p.m.,unknown,4:22 p.m.
129,helloflight,ua-62-iah-ewr,2:30 p.m.,unknown,7:03 p.m.,unknown
130,helloflight,ua-1500-iah-gua,8:55 a.m.,unknown,11:45 a.m.,unknown
131,helloflight,aa-3804-phl-ord,unknown,2:44 p.m.,unknown,3:36 p.m.
132,helloflight,aa-1917-jfk-mco,unknown,3:28 p.m.,unknown,5:39 p.m.
133,helloflight,aa-2268-phx-ord,unknown,7:22 a.m.,unknown,11:04 a.m.
134,helloflight,aa-4277-cvg-jfk,unknown,12:11 p.m.,unknown,1:42 p.m.
135,helloflight,aa-2957-dfw-cvg,unknown,8:04 a.m.,unknown,10:58 a.m.
136,helloflight,ua-37-edi-ewr,9:05 a.m. (-00:00),unknown,11:53 a.m.,unknown
137,helloflight,aa-789-ord-den,unknown,1:20 p.m.,unknown,2:49 p.m.
138,helloflight,aa-415-bos-ord,unknown,8:55 a.m.,unknown,10:12 a.m.
139,helloflight,aa-85-jfk-sfo,unknown,3:38 p.m.,unknown,6:30 p.m.
140,helloflight,aa-3979-cvg-ord,unknown,8:04 a.m.,unknown,7:59 a.m.
141,helloflight,aa-3786-iah-ord,unknown,4:12 p.m.,unknown,6:11 p.m.
142,helloflight,aa-271-mia-lax,unknown,11:52 a.m.,unknown,2:21 p.m.
143,helloflight,co-50-cle-ewr,2:55 p.m.,unknown,4:49 p.m.,unknown
144,helloflight,ua-3099-phx-phl,unknown,11:55 a.m.,unknown,5:34 p.m.
145,helloflight,aa-4198-ord-cle,unknown,10:55 a.m.,unknown,12:37 p.m.
146,helloflight,aa-404-mia-mco,unknown,6:58 a.m.,unknown,7:37 a.m.
147,helloflight,co-45-ewr-mia,4:00 p.m.,unknown,7:05 p.m.,unknown
148,helloflight,aa-3809-phx-lax,unknown,6:11 a.m.,unknown,6:15 a.m.
149,helloflight,aa-59-jfk-sfo,unknown,7:40 a.m.,unknown,10:52 a.m.
150,helloflight,aa-222-lax-bos,unknown,7:32 a.m.,unknown,3:12 p.m.
151,boston,aa-3859-iah-ord,7:10 a.m.,7:16 a.m.,9:40 a.m.,9:22 a.m.
152,boston,co-1586-iah-mco,unknown,7:42 p.m.,unknown,10:23 p.m.
153,boston,aa-518-mia-jfk,6:40 a.m.,6:54 a.m.,9:25 a.m.,9:12 a.m.
154,boston,ua-397-jfk-sfo,8:00 a.m.,8:49 a.m.,11:55 a.m.,11:35 a.m.
155,boston,ua-3925-iad-orf,unknown,9:01 a.m.,unknown,9:40 a.m.
156,boston,aa-1733-ord-phx,7:45 p.m.,7:59 p.m.,10:30 p.m.,10:39 p.m.&nbsp(estimated)
157,boston,aa-3-jfk-lax,12:00 p.m.,12:12 p.m.,3:15 p.m.,3:10 p.m.
158,boston,ua-2830-mco-clt,3:27 p.m.,3:50 p.m.,5:05 p.m.,5:17 p.m.
159,boston,co-58-den-iah,unknown,12:37 p.m.,unknown,3:25 p.m.
160,boston,ua-5487-sfo-mry,unknown,10:53 a.m.,unknown,11:18 a.m.
161,boston,aa-204-lax-mco,11:25 p.m.,not available,6:55 a.m. dec 02,not available
162,boston,ua-414-lax-sfo,unknown,6:10 a.m.,unknown,7:10 a.m.
163,boston,co-1614-lax-iah,unknown,12:58 a.m.,unknown,5:23 a.m.
164,boston,ua-2726-fll-phl,4:00 p.m.,4:10 p.m.,6:46 p.m.,6:25 p.m.
165,boston,co-52-iah-lax,unknown,7:56 a.m.,unknown,9:09 a.m.
166,boston,co-1090-bos-iah,unknown,10:35 a.m.,unknown,1:09 p.m.
167,boston,aa-616-dfw-dtw,9:05 a.m.,10:11 a.m.,12:35 p.m.,1:18 p.m.
168,boston,ua-3515-iad-msp,unknown,8:26 a.m.,unknown,9:54 a.m.
169,boston,aa-3468-cvg-mia,7:00 a.m.,7:25 a.m.,9:55 a.m.,9:42 a.m.
170,boston,aa-484-dfw-mia,4:15 p.m.,4:30 p.m.,7:55 p.m.,7:35 p.m.
171,boston,aa-1886-bos-mia,unknown,10:55 a.m.,unknown,1:34 p.m.
172,boston,co-62-iah-ewr,unknown,2:59 p.m.,unknown,6:59 p.m.
173,boston,co-1561-phx-iah,unknown,8:18 a.m.,unknown,11:26 a.m.
174,boston,ua-2314-atl-phl,unknown,3:04 p.m.,unknown,4:45 p.m.
175,boston,aa-446-dfw-phl,11:50 a.m.,12:13 p.m.,3:50 p.m.,4:09 p.m.
176,boston,co-1023-iah-den,unknown,12:06 p.m.,unknown,1:12 p.m.
177,boston,aa-466-iah-mia,6:00 a.m.,6:09 a.m.,9:20 a.m.,9:00 a.m.
178,boston,ua-3050-phx-clt,11:05 a.m.,11:45 a.m.,4:57 p.m.,5:03 p.m.
179,boston,co-89-iah-ewr,unknown,6:17 a.m.,unknown,10:18 a.m.
180,boston,co-1088-cle-iah,unknown,9:01 a.m.,unknown,10:47 a.m.
181,boston,aa-1664-mia-atl,10:15 a.m.,10:19 a.m.,12:10 p.m.,11:50 a.m.
182,boston,aa-1279-dfw-phx,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:19 p.m.
183,boston,ua-854-sfo-iah,unknown,8:07 a.m.,unknown,1:27 p.m.
184,boston,ua-382-iad-lax,unknown,12:56 p.m.,unknown,3:20 p.m.
185,boston,aa-4344-ord-dtw,unknown,12:14 p.m.,unknown,2:01 p.m.
186,boston,ua-257-jfk-sfo,2:30 p.m.,2:43 p.m.,6:15 p.m.,5:28 p.m.
187,boston,ua-2945-phl-clt,12:00 p.m.,12:08 p.m.,1:45 p.m.,1:14 p.m.
188,boston,co-63-ewr-iah,unknown,5:38 p.m.,unknown,7:55 p.m.
189,boston,co-47-iah-lax,unknown,8:36 p.m.,unknown,9:38 p.m.
190,boston,aa-2050-ord-mia,10:40 a.m.,11:06 a.m.,2:45 p.m.,2:37 p.m.
191,boston,ua-248-phx-ord,12:57 p.m.,unknown,4:52 p.m.,unknown
192,boston,aa-4330-cvg-ord,unknown,3:36 p.m.,unknown,3:25 p.m.
193,boston,aa-1434-dfw-mco,7:15 a.m.,7:22 a.m.,10:35 a.m.,10:29 a.m.
194,boston,aa-1640-mia-mco,6:30 p.m.,not available,7:25 p.m.,not available
195,boston,aa-4307-ord-dtw,6:45 p.m.,6:56 p.m.,9:10 p.m.,8:43 p.m.
196,boston,co-1694-lax-iah,7:15 p.m.,not available,12:21 a.m. dec 02,not available
197,boston,ua-843-lax-ord,unknown,2:38 p.m.,unknown,7:53 p.m.
198,boston,co-1193-ewr-mco,9:15 a.m.,9:58 a.m.,12:18 p.m.,12:03 p.m.
199,boston,aa-3842-msp-ord,6:00 a.m.,6:57 a.m.,7:30 a.m.,7:51 a.m.
200,boston,aa-643-mia-ord,7:10 a.m.,7:31 a.m.,9:35 a.m.,9:29 a.m.
201,boston,aa-1007-mia-phx,unknown,5:09 p.m.,unknown,7:53 p.m.
202,boston,ua-2906-phl-mco,3:50 p.m.,4:46 p.m.,6:23 p.m.,6:36 p.m.
203,boston,ua-938-den-ord,unknown,4:37 p.m.,unknown,7:26 p.m.
204,boston,aa-1221-mco-ord,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:49 p.m.
205,boston,co-16-lax-ewr,unknown,10:37 a.m.,unknown,6:13 p.m.
206,boston,ua-2515-dfw-clt,unknown,7:31 a.m.,unknown,10:45 a.m.
207,boston,aa-400-dfw-jfk,10:40 a.m.,11:02 a.m.,2:59 p.m.,2:56 p.m.
208,boston,ua-664-ord-phl,1:33 p.m.,1:48 p.m.,4:31 p.m.,4:18 p.m.
209,boston,aa-3756-ord-slc,12:15 p.m.,12:42 p.m.,2:45 p.m.,2:52 p.m.
210,boston,ua-37-ewr-mco,unknown,2:01 p.m.,unknown,4:06 p.m.
211,boston,aa-1522-sfo-ord,11:55 p.m.,unknown,5:50 a.m.dec 02,unknown
212,boston,ua-233-lax-jfk,4:25 p.m.,not available,12:29 a.m. dec 02,not available
213,boston,aa-3823-lax-den,9:00 p.m.,not available,12:15 a.m. dec 02,not available
214,boston,aa-2312-dfw-dtw,8:25 p.m.,not available,11:50 p.m.,not available
215,boston,aa-1165-jfk-mia,6:59 a.m.,7:23 a.m.,10:34 a.m.,9:58 a.m.
216,boston,aa-431-mia-sfo,8:35 a.m.,8:52 a.m.,11:50 a.m.,11:40 a.m.
217,boston,ua-3373-iad-phl,unknown,8:37 a.m.,unknown,9:11 a.m.
218,boston,aa-649-ord-sna,1:30 p.m.,not available,3:50 p.m.,not available
219,boston,co-1250-mia-iah,unknown,3:17 p.m.,unknown,4:55 p.m.
220,boston,ua-6273-yyc-sfo,unknown,7:41 a.m.,unknown,8:41 a.m.
221,boston,ua-828-sfo-ord,11:08 p.m.,unknown,5:11 a.m.dec 02,unknown
222,boston,co-4888-iah-dal,5:30 p.m.,unknown,6:09 p.m.,unknown
223,boston,ua-858-pvg-sfo,unknown,12:45 a.m.,unknown,7:58 a.m.
224,boston,ua-2704-dtw-phx,unknown,11:47 a.m.,unknown,2:02 p.m.
225,boston,aa-3063-slc-lax,unknown,8:40 p.m.,unknown,9:11 p.m.
226,boston,ua-2708-ewr-clt,unknown,3:04 p.m.,unknown,4:24 p.m.
227,boston,ua-62-iah-ewr,unknown,2:59 p.m.,unknown,6:59 p.m.
228,boston,ua-1500-iah-gua,unknown,9:43 a.m.,unknown,12:10 p.m.
229,boston,aa-3804-phl-ord,2:35 p.m.,2:44 p.m.,4:05 p.m.,3:36 p.m.
230,boston,aa-1917-jfk-mco,2:55 p.m.,3:28 p.m.,5:55 p.m.,5:34 p.m.
231,boston,aa-2268-phx-ord,7:15 a.m.,7:23 a.m.,11:35 a.m.,11:07 a.m.
232,boston,aa-4277-cvg-jfk,12:10 p.m.,12:11 p.m.,2:15 p.m.,1:40 p.m.
233,boston,aa-2957-dfw-cvg,7:55 a.m.,8:05 a.m.,11:05 a.m.,11:00 a.m.
234,boston,ua-37-edi-ewr,unknown,9:05 a.m.,unknown,12:00 p.m.
235,boston,aa-789-ord-den,1:05 p.m.,1:20 p.m.,2:35 p.m.,3:01 p.m.
236,boston,aa-415-bos-ord,unknown,8:56 a.m.,unknown,10:10 a.m.
237,boston,aa-85-jfk-sfo,3:05 p.m.,3:38 p.m.,6:30 p.m.,6:36 p.m.
238,boston,aa-3979-cvg-ord,7:30 a.m.,8:04 a.m.,8:00 a.m.,7:57 a.m.
239,boston,aa-1544-san-ord,unknown,11:41 a.m.,unknown,4:52 p.m.
240,boston,aa-3786-iah-ord,4:00 p.m.,4:12 p.m.,6:40 p.m.,6:09 p.m.
241,boston,aa-271-mia-lax,11:35 a.m.,11:52 a.m.,2:25 p.m.,2:18 p.m.
242,boston,aa-2525-dfw-mia,7:25 a.m.,7:40 a.m.,11:10 a.m.,10:53 a.m.
243,boston,co-50-cle-ewr,unknown,4:02 p.m.,unknown,5:09 p.m.
244,boston,ua-3099-phx-phl,11:55 a.m.,11:55 a.m.,6:17 p.m.,5:35 p.m.
245,boston,aa-4198-ord-cle,10:40 a.m.,10:55 a.m.,12:55 p.m.,12:48 p.m.
246,boston,aa-404-mia-mco,6:45 a.m.,6:58 a.m.,7:45 a.m.,7:32 a.m.
247,boston,co-45-ewr-mia,4:00 p.m.,4:15 p.m.,7:05 p.m.,6:33 p.m.
248,boston,aa-3809-phx-lax,6:00 a.m.,6:11 a.m.,6:40 a.m.,6:07 a.m.
249,boston,aa-59-jfk-sfo,7:10 a.m.,7:40 a.m.,10:45 a.m.,11:00 a.m.
250,boston,aa-222-lax-bos,7:10 a.m.,7:32 a.m.,3:30 p.m.,3:09 p.m.
251,weather,aa-3859-iah-ord,7:10 a.m.,unknown,9:40 a.m.,unknown
252,weather,aa-518-mia-jfk,6:40 a.m.,6:54 a.m.,9:25 a.m.,9:09 a.m.
253,weather,ua-397-jfk-sfo,8:00 a.m.,8:49 a.m.,11:55 a.m.,11:34 a.m.
254,weather,ua-3925-iad-orf,8:41 a.m.,unknown,9:54 a.m.,unknown
255,weather,aa-1733-ord-phx,7:45 p.m.,unknown,10:30 p.m.,unknown
256,weather,aa-1640-mia-mco,6:30 p.m.,6:56 p.m.,7:25 p.m.,7:35 p.m.
257,weather,ua-2830-mco-clt,3:27 p.m.,unknown,5:05 p.m.,unknown
258,weather,co-58-den-iah,11:25 a.m.,unknown,2:50 p.m.,unknown
259,weather,aa-1544-san-ord,11:25 a.m.,unknown,5:25 p.m.,unknown
260,weather,ua-5487-sfo-mry,10:39 a.m.,unknown,11:19 a.m.,unknown
261,weather,aa-204-lax-mco,11:25 p.m.,11:58 p.m.,6:55 a.m.,7:02 a.m.
262,weather,ua-414-lax-sfo,6:00 a.m.,unknown,7:23 a.m.,unknown
263,weather,aa-3756-ord-slc,12:15 p.m.,unknown,2:45 p.m.,unknown
264,weather,ua-2726-fll-phl,4:00 p.m.,unknown,6:46 p.m.,unknown
265,weather,co-1090-bos-iah,9:45 a.m.,unknown,1:16 p.m.,unknown
266,weather,aa-3468-cvg-mia,7:00 a.m.,unknown,9:55 a.m.,unknown
267,weather,ua-3515-iad-msp,8:15 a.m.,unknown,10:06 a.m.,unknown
268,weather,aa-484-dfw-mia,4:15 p.m.,unknown,7:55 p.m.,unknown
269,weather,co-62-iah-ewr,2:30 p.m.,unknown,7:03 p.m.,unknown
270,weather,aa-446-dfw-phl,11:50 a.m.,unknown,3:50 p.m.,unknown
271,weather,aa-466-iah-mia,6:00 a.m.,6:09 a.m.,9:20 a.m.,8:50 a.m.
272,weather,ua-3050-phx-clt,11:05 a.m.,unknown,4:57 p.m.,unknown
273,weather,co-89-iah-ewr,6:00 a.m.,unknown,10:20 a.m.,unknown
274,weather,co-1088-cle-iah,8:40 a.m.,unknown,10:54 a.m.,unknown
275,weather,aa-1886-bos-mia,10:45 a.m.,unknown,2:20 p.m.,unknown
276,weather,aa-1664-mia-atl,10:15 a.m.,10:19 a.m.,12:10 p.m.,11:50 a.m.
277,weather,aa-3979-cvg-ord,7:30 a.m.,unknown,8:00 a.m.,unknown
278,weather,aa-1279-dfw-phx,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:13 p.m.
279,weather,co-1614-lax-iah,12:30 a.m.,unknown,5:35 a.m.,unknown
280,weather,aa-616-dfw-dtw,9:05 a.m.,10:11 a.m.,12:35 p.m.,1:11 p.m.
281,weather,aa-4344-ord-dtw,11:45 a.m.,unknown,2:00 p.m.,unknown
282,weather,ua-2945-phl-clt,12:00 p.m.,unknown,1:45 p.m.,unknown
283,weather,aa-2525-dfw-mia,7:25 a.m.,7:40 a.m.,11:10 a.m.,10:52 a.m.
284,weather,aa-271-mia-lax,11:35 a.m.,11:52 a.m.,2:25 p.m.,2:17 p.m.
285,weather,aa-2050-ord-mia,10:40 a.m.,11:06 a.m.,2:45 p.m.,2:36 p.m.
286,weather,aa-1434-dfw-mco,7:15 a.m.,7:22 a.m.,10:35 a.m.,10:34 a.m.
287,weather,co-1561-phx-iah,8:05 a.m.,unknown,11:35 a.m.,unknown
288,weather,aa-4307-ord-dtw,6:45 p.m.,unknown,9:10 p.m.,unknown
289,weather,aa-3-jfk-lax,12:00 p.m.,12:12 p.m.,3:15 p.m.,3:09 p.m.
290,weather,co-1694-lax-iah,7:15 p.m.,unknown,12:21 a.m.,unknown
291,weather,ua-843-lax-ord,1:55 p.m.,unknown,7:53 p.m.,unknown
292,weather,co-1193-ewr-mco,9:15 a.m.,unknown,12:18 p.m.,unknown
