age(String),workclass(String),fnlwgt(String),education(String),education_num(String),marital_status(String),occupation(String),relationship(String),race(String),sex(String),capital_gain(String),capital_loss(String),hours_per_week(String),nativecountry(String),class(String)
35,?,129305,hs-grad,9,married-civ-spouse,?,husband,white,male,0,0,40,united-states,<=50k
39,private,365739,some-college,10,divorced,craft-repair,not-in-family,white,male,0,0,40,united-states,<=50k
28,private,69621,assoc-acdm,12,never-married,sales,not-in-family,white,female,0,0,60,united-states,<=50k
24,private,43323,hs-grad,9,never-married,other-service,not-in-family,white,female,0,1762,40,united-states,<=50k
38,self-emp-not-inc,120985,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,4386,0,35,united-states,<=50k
37,private,254202,bachelors,13,married-civ-spouse,sales,husband,white,male,0,0,50,united-states,<=50k
46,private,146195,assoc-acdm,12,divorced,tech-support,not-in-family,black,female,0,0,36,united-states,<=50k
38,federal-gov,125933,masters,14,married-civ-spouse,prof-specialty,husband,white,male,0,0,40,iran,>50k
43,self-emp-not-inc,56920,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,0,0,60,united-states,<=50k
27,private,163127,assoc-voc,11,married-civ-spouse,adm-clerical,wife,white,female,0,0,35,united-states,<=50k
20,private,34310,some-college,10,never-married,sales,own-child,white,male,0,0,20,united-states,<=50k
49,private,81973,some-college,10,married-civ-spouse,craft-repair,husband,asian-pac-islander,male,0,0,40,united-states,>50k
61,self-emp-inc,66614,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,<=50k
27,private,232782,some-college,10,never-married,sales,own-child,white,female,0,0,40,united-states,<=50k
19,private,316868,some-college,10,never-married,other-service,own-child,white,male,0,0,30,mexico,<=50k
45,private,196584,assoc-voc,11,never-married,prof-specialty,not-in-family,white,female,0,1564,40,united-states,>50k
70,private,105376,some-college,10,never-married,tech-support,other-relative,white,male,0,0,40,united-states,<=50k
31,private,185814,hs-grad,9,never-married,transport-moving,unmarried,black,female,0,0,30,united-states,<=50k
22,private,175374,some-college,10,married-civ-spouse,other-service,husband,white,male,0,0,24,united-states,<=50k
36,private,108293,hs-grad,9,widowed,other-service,unmarried,white,female,0,0,24,united-states,<=50k
64,private,181232,11th,7,married-civ-spouse,craft-repair,husband,white,male,0,2179,40,united-states,<=50k
43,?,174662,some-college,10,divorced,?,not-in-family,white,female,0,0,40,united-states,<=50k
47,local-gov,186009,some-college,10,divorced,adm-clerical,unmarried,white,female,0,0,38,mexico,<=50k
34,private,198183,hs-grad,9,never-married,adm-clerical,not-in-family,white,female,0,0,40,united-states,<=50k
33,private,163003,bachelors,13,never-married,exec-managerial,other-relative,asian-pac-islander,female,0,0,40,philippines,<=50k
21,private,296158,hs-grad,9,never-married,craft-repair,own-child,white,male,0,0,35,united-states,<=50k
52,?,252903,hs-grad,9,divorced,?,not-in-family,white,male,0,0,45,united-states,>50k
48,private,187715,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,0,0,46,united-states,<=50k
23,private,214542,bachelors,13,never-married,handlers-cleaners,not-in-family,white,male,0,0,40,united-states,<=50k
71,self-emp-not-inc,494223,some-college,10,separated,sales,unmarried,black,male,0,1816,2,united-states,<=50k
29,private,191535,hs-grad,9,divorced,craft-repair,not-in-family,white,male,0,0,60,united-states,<=50k
42,private,228456,bachelors,13,separated,other-service,other-relative,black,male,0,0,50,united-states,<=50k
68,?,38317,1st-4th,2,divorced,?,not-in-family,white,female,0,0,20,united-states,<=50k
25,private,252752,hs-grad,9,never-married,other-service,unmarried,white,female,0,0,40,united-states,<=50k
44,self-emp-inc,78374,masters,14,divorced,exec-managerial,unmarried,asian-pac-islander,female,0,0,40,united-states,<=50k
28,private,88419,hs-grad,9,never-married,exec-managerial,not-in-family,asian-pac-islander,female,0,0,40,england,<=50k
45,self-emp-not-inc,201080,masters,14,married-civ-spouse,sales,husband,white,male,0,0,40,united-states,>50k
36,private,207157,some-college,10,divorced,other-service,unmarried,white,female,0,0,40,mexico,<=50k
39,federal-gov,235485,assoc-acdm,12,never-married,exec-managerial,not-in-family,white,male,0,0,42,united-states,<=50k
46,state-gov,102628,masters,14,widowed,protective-serv,unmarried,white,male,0,0,40,united-states,<=50k
18,private,25828,11th,7,never-married,handlers-cleaners,own-child,white,male,0,0,16,united-states,<=50k
66,local-gov,54826,assoc-voc,11,widowed,prof-specialty,not-in-family,white,female,0,0,20,united-states,<=50k
27,private,124953,hs-grad,9,never-married,other-service,not-in-family,white,male,0,1980,40,united-states,<=50k
28,state-gov,175325,hs-grad,9,married-civ-spouse,protective-serv,husband,white,male,0,0,40,united-states,<=50k
51,private,96062,some-college,10,married-civ-spouse,sales,husband,white,male,0,1977,40,united-states,>50k
27,private,428030,bachelors,13,never-married,craft-repair,not-in-family,white,male,0,0,50,united-states,<=50k
28,state-gov,149624,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,0,0,40,united-states,>50k
27,private,253814,hs-grad,9,married-spouse-absent,sales,unmarried,white,female,0,0,25,united-states,<=50k
21,private,312956,hs-grad,9,never-married,craft-repair,own-child,black,male,0,0,40,united-states,<=50k
34,private,483777,hs-grad,9,never-married,handlers-cleaners,not-in-family,black,male,0,0,40,united-states,<=50k
18,private,183930,hs-grad,9,never-married,other-service,own-child,white,male,0,0,12,united-states,<=50k
33,private,37274,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,0,0,65,united-states,<=50k
44,local-gov,181344,some-college,10,married-civ-spouse,exec-managerial,husband,black,male,0,0,38,united-states,>50k
43,private,114580,some-college,10,divorced,adm-clerical,not-in-family,white,female,0,0,40,united-states,<=50k
30,private,633742,some-college,10,never-married,craft-repair,not-in-family,black,male,0,0,45,united-states,<=50k
40,private,286370,7th-8th,4,married-civ-spouse,machine-op-inspct,husband,white,male,0,0,40,mexico,>50k
37,federal-gov,29054,some-college,10,married-civ-spouse,adm-clerical,husband,white,male,0,0,42,united-states,>50k
34,private,304030,hs-grad,9,married-civ-spouse,adm-clerical,husband,black,male,0,0,40,united-states,<=50k
41,self-emp-not-inc,143129,bachelors,13,divorced,exec-managerial,not-in-family,white,female,0,0,40,united-states,<=50k
53,?,135105,bachelors,13,divorced,?,not-in-family,white,female,0,0,50,united-states,<=50k
31,private,99928,masters,14,married-civ-spouse,prof-specialty,wife,white,female,0,0,50,united-states,<=50k
58,state-gov,109567,doctorate,16,married-civ-spouse,prof-specialty,husband,white,male,0,0,1,united-states,>50k
38,private,155222,some-college,10,divorced,machine-op-inspct,not-in-family,black,female,0,0,28,united-states,<=50k
24,private,159567,some-college,10,married-civ-spouse,machine-op-inspct,husband,white,male,0,0,40,united-states,<=50k
41,local-gov,523910,bachelors,13,married-civ-spouse,craft-repair,husband,black,male,0,0,40,united-states,<=50k
47,private,120939,some-college,10,married-civ-spouse,tech-support,husband,white,male,0,0,45,united-states,<=50k
41,federal-gov,130760,bachelors,13,married-civ-spouse,tech-support,husband,white,male,0,0,24,united-states,<=50k
23,private,197387,5th-6th,3,married-civ-spouse,transport-moving,other-relative,white,male,0,0,40,mexico,<=50k
36,private,99374,some-college,10,divorced,craft-repair,not-in-family,white,male,0,0,40,united-states,<=50k
40,federal-gov,56795,masters,14,never-married,exec-managerial,not-in-family,white,female,14084,0,55,united-states,>50k
35,private,138992,masters,14,married-civ-spouse,prof-specialty,other-relative,white,male,7298,0,40,united-states,>50k
24,self-emp-not-inc,32921,hs-grad,9,never-married,sales,not-in-family,white,male,0,0,40,united-states,<=50k
26,private,397317,masters,14,never-married,prof-specialty,not-in-family,white,female,0,1876,40,united-states,<=50k
19,?,170653,hs-grad,9,never-married,?,own-child,white,male,0,0,40,italy,<=50k
51,private,259323,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,0,0,50,united-states,>50k
42,local-gov,254817,some-college,10,never-married,prof-specialty,not-in-family,white,female,0,1340,40,united-states,<=50k
37,state-gov,48211,hs-grad,9,divorced,adm-clerical,unmarried,white,female,0,0,35,united-states,<=50k
18,private,140164,11th,7,never-married,sales,own-child,white,female,0,0,40,united-states,<=50k
36,private,128757,bachelors,13,married-civ-spouse,other-service,husband,black,male,7298,0,36,united-states,>50k
35,private,36270,hs-grad,9,divorced,craft-repair,not-in-family,white,male,0,0,60,united-states,<=50k
58,self-emp-inc,210563,hs-grad,9,married-civ-spouse,sales,wife,white,female,15024,0,35,united-states,>50k
17,private,65368,11th,7,never-married,sales,own-child,white,female,0,0,12,united-states,<=50k
44,local-gov,160943,hs-grad,9,married-civ-spouse,transport-moving,husband,black,male,0,0,40,united-states,<=50k
37,private,208358,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,>50k
35,private,153790,some-college,10,never-married,sales,not-in-family,amer-indian-eskimo,female,0,0,40,united-states,<=50k
60,private,85815,hs-grad,9,married-civ-spouse,craft-repair,husband,asian-pac-islander,male,0,0,40,united-states,<=50k
54,self-emp-inc,125417,7th-8th,4,married-civ-spouse,machine-op-inspct,husband,white,male,0,0,40,united-states,>50k
37,private,635913,bachelors,13,never-married,exec-managerial,not-in-family,black,male,0,0,60,united-states,>50k
50,private,313321,assoc-acdm,12,divorced,sales,not-in-family,white,female,0,0,40,united-states,<=50k
38,private,182609,bachelors,13,married-civ-spouse,sales,husband,white,male,0,0,50,poland,<=50k
45,private,109434,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,0,0,55,united-states,<=50k
25,private,255004,10th,6,never-married,craft-repair,not-in-family,white,male,0,0,40,united-states,<=50k
31,private,197860,some-college,10,married-civ-spouse,handlers-cleaners,husband,white,male,0,0,40,united-states,<=50k
64,?,187656,1st-4th,2,divorced,?,not-in-family,white,male,0,0,40,united-states,<=50k
90,private,51744,hs-grad,9,never-married,other-service,not-in-family,black,male,0,2206,40,united-states,<=50k
54,private,176681,hs-grad,9,married-civ-spouse,adm-clerical,husband,black,male,0,0,20,united-states,<=50k
53,local-gov,140359,preschool,1,never-married,machine-op-inspct,not-in-family,white,female,0,0,35,united-states,<=50k
18,private,243313,hs-grad,9,never-married,sales,own-child,white,female,0,0,40,united-states,<=50k
60,?,24215,10th,6,divorced,?,not-in-family,amer-indian-eskimo,female,0,0,10,united-states,<=50k
66,self-emp-not-inc,167687,hs-grad,9,married-civ-spouse,farming-fishing,husband,white,male,1409,0,50,united-states,<=50k
75,private,314209,assoc-voc,11,widowed,adm-clerical,not-in-family,white,female,0,0,20,columbia,<=50k
65,private,176796,hs-grad,9,divorced,adm-clerical,not-in-family,white,female,0,0,40,united-states,<=50k
35,private,538583,11th,7,separated,transport-moving,not-in-family,black,male,3674,0,40,united-states,<=50k
41,private,130408,hs-grad,9,divorced,sales,unmarried,black,female,0,0,38,united-states,<=50k
25,private,159732,some-college,10,never-married,adm-clerical,not-in-family,white,male,0,0,42,united-states,<=50k
33,private,110978,some-college,10,divorced,craft-repair,other-relative,other,female,0,0,40,united-states,<=50k
28,private,76714,prof-school,15,never-married,prof-specialty,not-in-family,white,male,0,0,55,united-states,>50k
59,state-gov,268700,hs-grad,9,married-civ-spouse,other-service,husband,white,male,0,0,40,united-states,<=50k
40,state-gov,170525,some-college,10,never-married,adm-clerical,not-in-family,white,female,0,0,38,united-states,<=50k
41,private,180138,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,0,0,50,iran,>50k
38,local-gov,115076,masters,14,married-civ-spouse,exec-managerial,husband,white,male,0,0,70,united-states,>50k
23,private,115458,hs-grad,9,never-married,transport-moving,own-child,white,male,0,0,40,united-states,<=50k
40,private,347890,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,0,0,40,united-states,>50k
41,self-emp-not-inc,196001,hs-grad,9,married-civ-spouse,other-service,wife,white,female,0,0,20,united-states,<=50k
24,state-gov,273905,assoc-acdm,12,married-civ-spouse,protective-serv,husband,white,male,0,0,50,united-states,<=50k
20,?,119156,some-college,10,never-married,?,own-child,white,male,0,0,20,united-states,<=50k
38,private,179488,some-college,10,divorced,craft-repair,not-in-family,white,male,0,1741,40,united-states,<=50k
56,private,203580,hs-grad,9,married-civ-spouse,adm-clerical,husband,white,male,0,0,35,?,<=50k
58,private,236596,hs-grad,9,married-civ-spouse,adm-clerical,husband,white,male,0,0,45,united-states,>50k
32,private,183916,hs-grad,9,never-married,other-service,not-in-family,white,female,0,0,34,united-states,<=50k
40,private,207578,assoc-acdm,12,married-civ-spouse,tech-support,husband,white,male,0,1977,60,united-states,>50k
45,private,153141,hs-grad,9,married-civ-spouse,adm-clerical,husband,white,male,0,0,40,?,<=50k
41,private,112763,prof-school,15,married-civ-spouse,prof-specialty,wife,white,female,0,0,40,united-states,>50k
42,private,390781,bachelors,13,married-civ-spouse,adm-clerical,wife,black,female,0,0,40,united-states,<=50k
59,local-gov,171328,10th,6,widowed,other-service,unmarried,black,female,0,0,30,united-states,<=50k
19,local-gov,27382,some-college,10,never-married,adm-clerical,own-child,white,male,0,0,40,united-states,<=50k
58,private,259014,some-college,10,never-married,transport-moving,not-in-family,white,male,0,0,20,united-states,<=50k
42,self-emp-not-inc,303044,hs-grad,9,married-civ-spouse,farming-fishing,husband,asian-pac-islander,male,0,0,40,cambodia,>50k
20,private,117789,hs-grad,9,never-married,other-service,own-child,white,female,0,0,40,united-states,<=50k
32,private,172579,hs-grad,9,separated,other-service,not-in-family,white,female,0,0,30,united-states,<=50k
45,private,187666,assoc-voc,11,widowed,exec-managerial,not-in-family,white,female,0,0,45,united-states,<=50k
50,private,204518,7th-8th,4,divorced,craft-repair,not-in-family,white,male,0,0,40,united-states,<=50k
36,private,150042,bachelors,13,divorced,prof-specialty,own-child,white,female,0,0,40,united-states,<=50k
45,private,98092,hs-grad,9,married-civ-spouse,sales,husband,white,male,0,0,60,united-states,<=50k
17,private,245918,11th,7,never-married,other-service,own-child,white,male,0,0,12,united-states,<=50k
59,private,146013,some-college,10,married-civ-spouse,sales,husband,white,male,4064,0,40,united-states,<=50k
26,private,378322,11th,7,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,<=50k
37,self-emp-inc,257295,some-college,10,married-civ-spouse,exec-managerial,husband,asian-pac-islander,male,0,0,75,thailand,>50k
19,?,218956,some-college,10,never-married,?,own-child,white,male,0,0,24,canada,<=50k
64,private,21174,hs-grad,9,married-civ-spouse,exec-managerial,husband,white,male,0,0,40,united-states,>50k
33,private,185480,bachelors,13,never-married,prof-specialty,not-in-family,white,female,0,0,45,united-states,<=50k
33,private,222205,hs-grad,9,married-civ-spouse,craft-repair,wife,white,female,0,0,40,united-states,>50k
61,private,69867,hs-grad,9,married-civ-spouse,exec-managerial,husband,white,male,0,0,40,united-states,>50k
