attribute,wrong_val,correct_val
2467.volume,46393,37009
1105.date,20100106,20100305
1537.volume,199709,42113
435.volume,598487,262002
6615.close,46.65,39.76
1978.date,20100722,20100126
511.volume,196742,127487
1215.date,20100423,20100811
5524.date,20100316,20100726
6762.ticker,AMAT,AMT
392.date,20091009,20100331
5661.date,20091023,20100223
3588.ticker,A,AFL
432.volume,450912,256716
7836.close,40.65,38.53
1.volume,30891,34758
7550.close,54.29,40.11
6108.date,20100317,20091223
189.date,20090828,20100601
9444.high,35.69,36.62
9651.ticker,A,AVB
5427.date,20100217,20100308
408.volume,844784,245235
4408.date,20100104,20100106
860.volume,195166,27158
244.date,20090828,20100819
2993.volume,130334,20069
2591.close,30.09,30.74
4643.date,20091216,20091221
4569.date,20100305,20090827
8936.date,20090825,20100715
2991.open,33.98,34.15
204.date,20090828,20100622
474.volume,585630,187010
9709.high,33.97,71.9
50.date,20090831,20091109
3192.volume,321215,62206
468.volume,304187,289730
5165.date,20091210,20100210
7067.volume,68780,44225
697.volume,54585,209083
8279.close,13.66,62.55
1971.close,31.15,30.74
481.volume,318267,175617
2642.close,26.49,25.56
3600.date,20100226,20090915
23.date,20090831,20090924
4332.volume,400762,25391
6038.date,20090903,20090904
3370.date,20091002,20091006
7494.ticker,AMAT,ANF
31.date,20090831,20091006
9403.date,20100210,20090821
4385.date,20090826,20091202
1885.high,28.15,28.17
3649.high,42.2,47.05
4680.date,20100107,20100216
2732.date,20090914,20100304
8991.high,32.02,71.16
143.volume,294546,49651
9957.high,33.69,35.16
4917.date,20100520,20100204
8084.volume,164355,32654
4832.close,47.87,19.26
8640.close,81.22,77.01
5565.high,53.25,21.17
705.volume,39694,425340
5947.volume,67023,172762
5957.date,20100203,20100510
4300.high,105.74,37.25
5799.volume,553738,264947
570.volume,270196,123401
9896.high,31.22,32.88
719.volume,54585,152887
5435.date,20100415,20100318
1274.date,20100413,20100813
42.date,20090831,20091021
443.volume,347645,178324
9899.date,20100507,20090831
6497.high,53.14,53.18
854.volume,123759,31683
4978.volume,74193,39648
2125.ticker,A,ADP
6511.date,20100217,20100812
1841.close,31.36,27.86
1949.high,30.65,31.03
3065.date,20100319,20100709
242.date,20090828,20100816
8127.volume,86154,40220
3912.high,56.13,63.5
5860.volume,211587,119600
225.date,20090828,20100722
5863.volume,70255,139393
8880.date,20091229,20100426
8200.high,44.73,87.23
7674.volume,108501,54978
3183.volume,441903,75075
3342.ticker,A,AET
4883.close,34.31,25.03
4497.close,25.28,21.38
5958.date,20091204,20100511
5670.date,20100721,20100308
1301.low,46.01,46.73
524.volume,156503,104783
3033.low,30.98,31.08
5241.volume,60214,96407
2508.date,20100208,20100331
6517.ticker,AMAT,AMP
6921.volume,241199,29504
5941.volume,310787,337671
4384.volume,439037,27883
482.volume,210013,145544
4363.high,51.83,14.94
4376.volume,54123,20913
12.date,20090831,20090909
6654.close,44.6,44.18
7680.volume,62796,37796
720.volume,54585,150198
5825.date,20091116,20091020
859.volume,21000,26593
1976.date,20100429,20100122
8037.date,20090831,20091117
8877.close,25.49,46.74
8633.high,30.66,77.4
15.volume,21000,35156
22.date,20090831,20090923
6856.date,20091125,20100115
6158.date,20091211,20100309
6795.open,36.92,36.73
7979.close,14.6,37.44
5401.high,30.19,30.52
7138.volume,50764,61519
3097.ticker,A,AES
26.volume,21000,31254
7934.close,43.71,38.27
9649.ticker,ALTR,AVB
9384.high,38.57,65.71
32.date,20090831,20091007
483.volume,598487,264545
3398.date,20090825,20091120
248.ticker,A,AA
8151.volume,74193,49890
4375.volume,371891,20895
487.volume,283628,145830
7916.close,41.6,40.7
6184.volume,169729,550964
847.volume,68954,33288
3504.date,20100112,20100427
43.volume,54585,27662
4971.low,33.34,33.97
4369.high,13.37,13.385
6819.close,43.62,40.64
8852.close,56.02,44.38
6157.date,20091211,20100308
6013.date,20100204,20100730
8616.close,76.59,74.3
6276.ticker,A,AMGN
5270.volume,208096,75905
2827.high,19.21,25.03
553.volume,407514,151734
5281.volume,240176,119333
486.volume,283628,154397
1527.close,31.28,34.95
3102.volume,439037,62573
1691.volume,21000,47226
4267.close,30.09,34.08
378.date,20091202,20100311
467.volume,283628,267170
11.open,26.96,25.37
8342.close,30.22,67.92
5874.date,20091009,20100108
2668.date,20091019,20091130
8048.high,23.41,97.24
5309.close,28.7,28.78
5943.volume,271490,184808
215.date,20090828,20100708
3130.volume,56406,39634
3455.open,28.6,28.89
380.volume,365988,235115
1766.volume,56186,25891
7827.date,20091210,20100108
9129.close,59.55,56.1
1971.open,30.59,30.58
3127.volume,367498,67995
59.volume,56186,19779
478.volume,318267,283622
3044.date,20100513,20100609
3529.date,20100205,20100602
379.volume,260527,288549
4381.volume,47137,9666
7896.date,20091117,20100420
5820.volume,485827,196847
5855.volume,226011,181459
1777.volume,56186,28705
5352.low,28.1,29.05
500.volume,167509,105036
249.ticker,A,AA
451.date,20100524,20100624
4386.volume,751936,31737
32.volume,54585,15895
9835.date,20100104,20100528
8252.high,53.98,64.15
4429.close,26.52,15.69
224.date,20090828,20100721
3057.date,20100315,20100628
2840.date,20100709,20100806
1527.high,31.7,35.06
13.date,20090831,20090910
9155.high,37.5,51.51
861.volume,29750,24699
5759.date,20090827,20100715
2662.date,20100716,20091119
3788.high,50.54,45.15
4376.low,13.56,13.4
5277.volume,367498,94805
9722.close,24.8,78.13
2998.volume,162812,37791
3832.ticker,A,AGN
363.volume,231952,275402
3455.high,28.69,29.0
4427.date,20091230,20100203
5798.volume,365988,172109
7492.date,20100216,20100820
192.date,20090828,20100604
5268.volume,23126,101190
39.date,20090831,20091016
1687.volume,21000,15701
4727.date,20100301,20100423
9032.close,18.18,55.89
759.close,25.83,22.03
605.volume,172977,193437
5436.date,20090924,20100319
4343.date,20100421,20090925
4661.low,30.43,30.34
969.high,20.26,30.085
49.date,20090831,20091106
5730.date,20091009,20100603
5984.volume,208096,153089
4632.high,30.98,30.86
7977.date,20100812,20100813
6473.date,20091127,20100618
7983.ticker,AMAT,APA
5944.volume,352454,192281
8536.close,38.6,83.6
41.date,20090831,20091020
750.date,20090916,20090918
6845.high,29.73,43.4
9810.volume,197543,17233
6860.close,35.8,42.18
533.volume,426330,282639
5862.volume,82679,125594
3113.volume,423804,68446
5282.volume,365988,112554
8896.high,31.18,45.52
1266.date,20100719,20100803
3098.ticker,A,AES
3566.date,20100722,20100726
5867.volume,371891,74504
3833.ticker,A,AGN
1301.high,47.02,47.57
458.volume,344604,294443
205.date,20090828,20100623
721.volume,54585,103343
8968.high,56.75,67.59
446.volume,598487,237833
1870.volume,56186,48731
6937.volume,94542,29133
5321.low,28.77,28.98
517.volume,289489,192708
5931.volume,211587,371164
5349.date,20100209,20091111
1718.date,20100720,20100104
7123.date,20100209,20100219
3042.date,20091230,20100607
439.volume,283628,279544
5366.date,20100325,20091207
6946.date,20091012,20100526
6275.ticker,A,AMGN
3150.date,20091203,20091117
1975.date,20100526,20100121
7729.high,12.56,40.17
7324.date,20091013,20091217
5809.volume,321248,178156
243.date,20090828,20100817
8832.high,41.35,41.37
5934.volume,342244,208716
4322.ticker,A,AIV
603.volume,270196,196551
7668.volume,160404,25870
5970.date,20091124,20100528
7912.date,20100401,20100512
5874.volume,45740,412148
4705.volume,130927,10291
7792.high,13.49,40.8
2994.high,34.41,34.4
8598.low,70.1,70.52
213.date,20090828,20100706
8236.high,54.68,54.96
8152.high,21.87,100.81
1598.volume,54585,104203
848.volume,53706,58689
9835.ticker,APD,AVB
149.volume,162812,26694
5935.volume,208096,291794
3396.low,28.9,29.0
4980.volume,132645,64836
191.date,20090828,20100603
6908.date,20090917,20100401
6176.date,20100317,20100405
5861.volume,304926,192396
34.date,20090831,20091009
694.volume,21000,274448
7406.low,18.53,18.79
862.volume,21000,29078
7456.date,20100114,20100629
3164.high,12.97,13.19
1965.low,31.34,31.43
3192.date,20100421,20100120
5423.date,20091019,20100302
489.volume,283628,264198
1903.volume,56186,99808
504.volume,289746,124628
9340.high,35.49,61.75
2852.ticker,A,AEP
1939.date,20100617,20091127
1156.high,124.79,48.93
6030.ticker,A,AMD
297.volume,203827,212731
9186.high,23.37,49.49
421.date,20090826,20100512
5875.volume,73835,336715
4332.date,20100201,20090910
9926.date,20100422,20091009
5272.volume,215704,90736
6935.volume,184304,35248
5176.date,20090910,20100226
5909.date,20100219,20100302
9232.date,20100216,20091215
5499.date,20090914,20100618
852.volume,136134,54070
4426.date,20091223,20100202
3172.volume,234178,63304
4931.high,29.82,25.73
980.ticker,A,ABT
9541.high,28.07,52.74
6428.high,25.48,61.07
5527.date,20090929,20100729
4392.volume,56406,12741
5932.volume,70255,293320
7720.high,20.61,38.8
6177.date,20100520,20100406
147.volume,81214,37863
8731.low,38.12,37.97
6641.high,34.97,40.63
412.volume,377087,262253
3587.ticker,A,AFL
9052.close,134.03,59.97
2607.ticker,A,AEE
4573.date,20100429,20090902
9504.high,51.68,44.0
9321.high,30.82,63.78
3108.volume,543173,41917
5811.volume,23126,234308
3502.high,27.3,31.02
6844.high,30.61,43.73
6654.low,44.1,44.06
5056.ticker,A,AKS
5789.volume,47137,223282
9942.close,29.75,33.84
9493.close,37.76,50.82
3163.volume,47137,48517
5667.volume,104239,71538
6910.close,29.91,42.81
5788.ticker,A,AMAT
7302.close,19.84,18.72
4403.low,15.96,15.99
4379.date,20100217,20091123
232.date,20090828,20100802
2606.date,20100211,20090824
8848.high,56.13,45.21
3350.date,20091117,20090904
3353.date,20091201,20090911
452.volume,598487,286687
1391.ticker,A,ADBE
9747.high,16.96,77.85
84.high,30.5,30.47
6839.high,16.92,43.0
1778.volume,56186,29564
5054.low,20.71,20.88
7195.high,57.87,129.15
9297.close,29.24,64.51
8707.high,41.32,77.22
382.volume,203873,846535
8222.close,17.8,91.26
3357.date,20091105,20090917
3343.ticker,A,AET
8965.high,24.5999,67.18
9260.high,28.67,48.0
5951.volume,27385,258999
679.volume,54585,245909
4265.date,20100819,20100603
1904.volume,56186,52167
5857.volume,22347,144259
9326.date,20091223,20100503
3313.date,20100706,20100714
792.date,20091221,20091124
234.date,20090828,20100804
3275.volume,93695,112389
5879.volume,289307,360347
5929.volume,122191,393648
302.volume,234178,206300
1519.volume,706508,59697
5940.volume,31621,229665
5785.date,20100216,20090821
971.volume,56186,23014
6795.high,37.47,37.75
669.volume,39694,279527
541.volume,172977,143283
693.volume,21000,256164
2460.high,104.59,26.385
5948.volume,1006917,301122
4813.ticker,A,AKAM
5939.date,20100720,20100414
200.date,20090828,20100616
6888.high,33.23,43.15
822.volume,66422,42774
7945.high,36.75,38.28
5785.volume,371891,159825
466.volume,323843,282508
7007.ticker,AMAT,AMZN
3869.close,60.34,58.56
4137.close,29.5,33.3
5288.volume,60214,69024
7792.date,20100712,20091117
9223.date,20100104,20091202
21.date,20090831,20090922
7525.date,20090826,20091008
2280.close,39.28,45.06
4344.volume,367999,27453
2909.close,53.78,31.86
5801.volume,441903,271571
3803.close,40.01,48.41
40.date,20090831,20091019
9767.close,73.5,80.0
729.volume,39694,150946
5235.volume,234178,135048
6555.date,20100423,20091019
8953.date,20100408,20100809
604.volume,407514,234095
7008.ticker,A,AMZN
1908.date,20100305,20091007
8144.high,27.76,109.99
5764.close,28.06,28.5
7634.close,44.47,44.38
7205.high,58.41,127.8
9034.low,56.63,55.76
240.date,20090828,20100812
4615.date,20091203,20091110
7739.ticker,AMAT,AOC
9918.date,20100503,20090929
4374.volume,347642,23970
5291.date,20100121,20100811
4132.close,36.11,35.66
2401.close,32.55,25.49
4939.volume,579178,79470
7294.high,29.5,18.99
7192.close,35.85,125.46
2754.date,20091224,20100406
8745.date,20100406,20091002
863.volume,21000,23645
856.date,20091113,20100301
5179.close,29.77,22.81
870.high,18.84,29.11
2676.date,20100713,20091210
7474.high,20.1,24.74
365.volume,439037,231957
8851.close,22.68,43.89
2945.high,30.7,36.12
4971.high,34.23,34.79
5717.date,20100524,20100513
3842.high,27.65,57.4
1631.volume,21000,52537
5320.date,20100727,20090924
10000.date,20100408,20100203
4957.date,20100611,20100405
2130.high,34.73,37.81
6774.date,20100108,20090911
8438.high,12.49,38.4
9912.high,30.85,32.07
7900.high,34.41,44.3
4078.ticker,A,AIG
2678.date,20100707,20091214
735.ticker,A,ABC
3110.volume,244217,70694
9440.low,38.0,37.65
5297.volume,56352,62085
7888.date,20100305,20100408
509.volume,289489,214909
3810.open,48.98,49.58
473.volume,598487,244525
4392.date,20091007,20091211
549.volume,426330,169705
2610.date,20100216,20090828
7865.date,20090924,20100305
4632.open,30.75,30.66
245.date,20090828,20100820
8125.close,25.62,98.31
2781.date,20100528,20100513
8451.date,20100429,20100722
8539.high,60.32,83.8
9928.date,20100412,20091013
972.volume,56186,16196
8953.close,26.73,45.71
3145.volume,407486,130625
9472.close,25.48,34.5
723.volume,54585,108259
5290.volume,45740,73087
5273.volume,68290,66553
2365.ticker,A,ADSK
9996.date,20091118,20100128
3281.volume,80307,75772
9942.high,29.95,33.86
5940.open,14.33,14.46
5885.date,20091201,20100126
668.volume,39694,272440
4110.low,44.8,43.8
5870.volume,67023,186159
193.date,20090828,20100607
7984.ticker,A,APA
4383.date,20091201,20091130
407.volume,360358,254381
231.volume,21000,36943
9574.high,36.05,53.1
239.date,20090828,20100811
1634.ticker,A,ADI
7981.date,20100615,20100820
2343.high,27.45,41.99
4941.date,20100114,20100311
3358.date,20090902,20090918
2319.close,26.87,42.28
5878.volume,289201,269335
6276.close,30.37,61.24
5336.high,14.54,31.85
5284.volume,352454,87872
6803.ticker,AMP,AMT
4812.ticker,A,AKAM
5983.volume,844784,153601
4383.volume,365988,26215
3455.close,28.6,28.75
4371.volume,321248,23839
461.volume,304187,210494
9691.close,64.32,73.14
1744.volume,316333,47452
6502.close,56.55,54.53
2124.ticker,A,ADP
1961.close,31.76,31.73
7985.ticker,A,APA
5859.volume,141725,291171
882.volume,56186,31517
7862.date,20091118,20100302
4181.close,23.95,23.97
3752.close,33.58,50.96
2742.date,20090915,20100318
545.volume,426330,141611
655.volume,54585,270857
8.date,20090831,20090901
9467.date,20100412,20091201
198.date,20090828,20100614
5265.date,20100804,20100706
827.volume,54585,20763
493.ticker,A,AAPL
2983.volume,210110,29554
1282.ticker,A,ACS
5645.date,20100729,20100129
8976.date,20090827,20090914
9752.high,35.39,78.73
8145.close,46.24,109.49
9896.ticker,A,AVP
1131.high,33.38,52.48
9119.high,54.4,65.7
9819.volume,132645,25990
1886.volume,21000,44048
7373.date,20091215,20100302
6014.date,20100223,20100802
3485.date,20100719,20100330
465.volume,304187,233940
7489.close,25.88,22.8
1779.volume,56186,20768
4438.close,40.4,16.65
6273.date,20091218,20090821
4935.date,20100520,20100303
9960.date,20100517,20091204
5538.low,28.02,28.04
4132.high,36.48,36.69
7538.high,19.25,36.09
4867.high,30.795,24.32
5925.date,20091110,20100324
5413.date,20100202,20100216
5287.volume,27229,50337
5300.ticker,A,ALL
4369.low,13.11,12.67
8121.high,40.91,102.105
4556.date,20090911,20100809
6621.high,17.28,39.83
5854.date,20090914,20091209
6866.high,36.07,43.15
5860.date,20100315,20091217
450.volume,598487,319541
429.volume,598487,222848
5797.volume,494175,292225
1613.volume,56186,50617
9451.date,20100309,20091106
47.date,20090831,20091028
9690.high,63.879999999999995,73.88
7204.close,20.43,126.9
476.volume,598487,226488
9905.close,86.44,32.03
5537.date,20100715,20100812
543.volume,150280,122618
6963.high,34.42,46.21
7966.high,51.12,36.98
255.volume,399788,250746
3515.date,20091208,20100512
9839.high,39.45,96.74
1997.close,35.02,29.62
1601.volume,54585,88519
15.date,20090831,20090914
851.volume,241546,32561
6795.close,36.91,37.73
3266.volume,132645,154791
3101.volume,505768,44668
5666.volume,181921,110835
207.date,20090828,20100625
3470.volume,579178,24069
716.volume,54585,185708
692.volume,21000,277317
4350.volume,44036,30726
3745.high,36.33,55.75
3590.date,20100209,20090828
